ID,County,Zip
16,Philadelphia County,19148
16,Philadelphia County,19149
16,Philadelphia County,19150
16,Philadelphia County,19151
16,Philadelphia County,19152
16,Philadelphia County,19153
16,Philadelphia County,19154
16,Philadelphia County,19155
16,Philadelphia County,19160
16,Philadelphia County,19161
16,Philadelphia County,19162
16,Philadelphia County,19170
16,Philadelphia County,19171
16,Philadelphia County,19172
16,Philadelphia County,19173
16,Philadelphia County,19175
16,Philadelphia County,19176
16,Philadelphia County,19177
16,Philadelphia County,19178
16,Philadelphia County,19179
16,Philadelphia County,19181
16,Philadelphia County,19182
16,Philadelphia County,19183
16,Philadelphia County,19184
16,Philadelphia County,19185
16,Philadelphia County,19187
16,Philadelphia County,19188
16,Philadelphia County,19190
16,Philadelphia County,19191
16,Philadelphia County,19192
16,Philadelphia County,19193
16,Philadelphia County,19194
16,Philadelphia County,19195
16,Philadelphia County,19196
16,Philadelphia County,19197
16,Philadelphia County,19244
16,Philadelphia County,19255
17,Perry County,17006
17,Perry County,17020
17,Perry County,17024
17,Perry County,17037
17,Perry County,17040
17,Perry County,17045
17,Perry County,17047
17,Perry County,17053
17,Perry County,17062
17,Perry County,17068
17,Perry County,17069
17,Perry County,17071
17,Perry County,17074
17,Perry County,17090
18,Northumberland County,17017
18,Northumberland County,17730
18,Northumberland County,17749
18,Northumberland County,17772
18,Northumberland County,17777
18,Northumberland County,17801
18,Northumberland County,17823
18,Northumberland County,17824
18,Northumberland County,17830
18,Northumberland County,17832
18,Northumberland County,17834
18,Northumberland County,17836
18,Northumberland County,17840
18,Northumberland County,17847
18,Northumberland County,17850
18,Northumberland County,17851
18,Northumberland County,17857
18,Northumberland County,17860
18,Northumberland County,17865
18,Northumberland County,17866
18,Northumberland County,17867
18,Northumberland County,17868
18,Northumberland County,17872
18,Northumberland County,17877
18,Northumberland County,17881
19,Northampton County,18010
19,Northampton County,18013
19,Northampton County,18014
19,Northampton County,18015
19,Northampton County,18016
19,Northampton County,18017
19,Northampton County,18020
19,Northampton County,18025
19,Northampton County,18035
19,Northampton County,18038
19,Northampton County,18040
19,Northampton County,18042
19,Northampton County,18043
19,Northampton County,18044
19,Northampton County,18045
19,Northampton County,18050
19,Northampton County,18055
19,Northampton County,18063
19,Northampton County,18064
19,Northampton County,18067
19,Northampton County,18072
19,Northampton County,18083
19,Northampton County,18085
19,Northampton County,18086
19,Northampton County,18088
19,Northampton County,18091
19,Northampton County,18343
19,Northampton County,18351
20,Montour County,17821
20,Montour County,17822
20,Montour County,17884
21,Montgomery County,18041
21,Montgomery County,18054
21,Montgomery County,18070
21,Montgomery County,18073
21,Montgomery County,18074
21,Montgomery County,18076
21,Montgomery County,18084
21,Montgomery County,18915
21,Montgomery County,18918
21,Montgomery County,18924
21,Montgomery County,18936
21,Montgomery County,18957
21,Montgomery County,18958
21,Montgomery County,18964
21,Montgomery County,18969
21,Montgomery County,18971
21,Montgomery County,18979
21,Montgomery County,19001
21,Montgomery County,19002
21,Montgomery County,19004
21,Montgomery County,19006
21,Montgomery County,19009
21,Montgomery County,19012
21,Montgomery County,19025
21,Montgomery County,19027
21,Montgomery County,19031
21,Montgomery County,19034
21,Montgomery County,19035
21,Montgomery County,19038
21,Montgomery County,19040
21,Montgomery County,19044
21,Montgomery County,19046
21,Montgomery County,19048
21,Montgomery County,19049
21,Montgomery County,19066
21,Montgomery County,19072
21,Montgomery County,19075
21,Montgomery County,19090
21,Montgomery County,19095
21,Montgomery County,19096
21,Montgomery County,19401
21,Montgomery County,19403
21,Montgomery County,19404
21,Montgomery County,19405
21,Montgomery County,19406
21,Montgomery County,19407
21,Montgomery County,19408
21,Montgomery County,19409
21,Montgomery County,19415
21,Montgomery County,19420
21,Montgomery County,19422
21,Montgomery County,19423
21,Montgomery County,19424
21,Montgomery County,19426
21,Montgomery County,19428
21,Montgomery County,19429
21,Montgomery County,19430
21,Montgomery County,19435
21,Montgomery County,19436
21,Montgomery County,19437
21,Montgomery County,19438
21,Montgomery County,19440
21,Montgomery County,19441
21,Montgomery County,19443
21,Montgomery County,19444
21,Montgomery County,19446
21,Montgomery County,19450
